state_id,split,label,violation_type,path
test_000000,test,1,legal,test/test_000000
test_000001,test,0,fk_break,test/test_000001
test_000002,test,1,legal,test/test_000002
test_000003,test,0,derivation_break,test/test_000003
test_000004,test,1,legal,test/test_000004
test_000005,test,0,cardinality_break,test/test_000005
test_000006,test,1,legal,test/test_000006
test_000007,test,0,transition_break,test/test_000007
test_000008,test,1,legal,test/test_000008
test_000009,test,0,derivation_break,test/test_000009
test_000010,test,1,legal,test/test_000010
test_000011,test,0,transition_break,test/test_000011
test_000012,test,1,legal,test/test_000012
test_000013,test,0,transition_break,test/test_000013
test_000014,test,1,legal,test/test_000014
test_000015,test,0,fk_break,test/test_000015
test_000016,test,1,legal,test/test_000016
test_000017,test,0,derivation_break,test/test_000017
test_000018,test,1,legal,test/test_000018
test_000019,test,0,fk_break,test/test_000019
test_000020,test,1,legal,test/test_000020
test_000021,test,0,transition_break,test/test_000021
test_000022,test,1,legal,test/test_000022
test_000023,test,0,cardinality_break,test/test_000023
test_000024,test,1,legal,test/test_000024
test_000025,test,0,transition_break,test/test_000025
test_000026,test,1,legal,test/test_000026
test_000027,test,0,derivation_break,test/test_000027
test_000028,test,1,legal,test/test_000028
test_000029,test,0,transition_break,test/test_000029
test_000030,test,1,legal,test/test_000030
test_000031,test,0,derivation_break,test/test_000031
test_000032,test,1,legal,test/test_000032
test_000033,test,0,fk_break,test/test_000033
test_000034,test,1,legal,test/test_000034
test_000035,test,0,fk_break,test/test_000035
test_000036,test,1,legal,test/test_000036
test_000037,test,0,derivation_break,test/test_000037
test_000038,test,1,legal,test/test_000038
test_000039,test,0,derivation_break,test/test_000039
test_000040,test,1,legal,test/test_000040
test_000041,test,0,fk_break,test/test_000041
test_000042,test,1,legal,test/test_000042
test_000043,test,0,derivation_break,test/test_000043
test_000044,test,1,legal,test/test_000044
test_000045,test,0,fk_break,test/test_000045
test_000046,test,1,legal,test/test_000046
test_000047,test,0,cardinality_break,test/test_000047
test_000048,test,1,legal,test/test_000048
test_000049,test,0,cardinality_break,test/test_000049
test_000050,test,1,legal,test/test_000050
test_000051,test,0,cardinality_break,test/test_000051
test_000052,test,1,legal,test/test_000052
test_000053,test,0,cardinality_break,test/test_000053
test_000054,test,1,legal,test/test_000054
test_000055,test,0,derivation_break,test/test_000055
test_000056,test,1,legal,test/test_000056
test_000057,test,0,derivation_break,test/test_000057
test_000058,test,1,legal,test/test_000058
test_000059,test,0,transition_break,test/test_000059
test_000060,test,1,legal,test/test_000060
test_000061,test,0,transition_break,test/test_000061
test_000062,test,1,legal,test/test_000062
test_000063,test,0,transition_break,test/test_000063
test_000064,test,1,legal,test/test_000064
test_000065,test,0,derivation_break,test/test_000065
test_000066,test,1,legal,test/test_000066
test_000067,test,0,fk_break,test/test_000067
test_000068,test,1,legal,test/test_000068
test_000069,test,0,cardinality_break,test/test_000069
test_000070,test,1,legal,test/test_000070
test_000071,test,0,transition_break,test/test_000071
test_000072,test,1,legal,test/test_000072
test_000073,test,0,derivation_break,test/test_000073
test_000074,test,1,legal,test/test_000074
test_000075,test,0,fk_break,test/test_000075
test_000076,test,1,legal,test/test_000076
test_000077,test,0,derivation_break,test/test_000077
test_000078,test,1,legal,test/test_000078
test_000079,test,0,fk_break,test/test_000079
test_000080,test,1,legal,test/test_000080
test_000081,test,0,derivation_break,test/test_000081
test_000082,test,1,legal,test/test_000082
test_000083,test,0,derivation_break,test/test_000083
test_000084,test,1,legal,test/test_000084
test_000085,test,0,cardinality_break,test/test_000085
test_000086,test,1,legal,test/test_000086
test_000087,test,0,derivation_break,test/test_000087
test_000088,test,1,legal,test/test_000088
test_000089,test,0,fk_break,test/test_000089
test_000090,test,1,legal,test/test_000090
test_000091,test,0,cardinality_break,test/test_000091
test_000092,test,1,legal,test/test_000092
test_000093,test,0,cardinality_break,test/test_000093
test_000094,test,1,legal,test/test_000094
test_000095,test,0,derivation_break,test/test_000095
test_000096,test,1,legal,test/test_000096
test_000097,test,0,transition_break,test/test_000097
test_000098,test,1,legal,test/test_000098
test_000099,test,0,fk_break,test/test_000099
