state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,EMPTY_RESPONSE,,0,,185.56,length,30878,32768,32768,,artifacts/kimi_n50_findv_traces/test_000000.reasoning.txt
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,11.25,stop,30879,726,710,artifacts/kimi_n50_findv_traces/test_000001.content.txt,artifacts/kimi_n50_findv_traces/test_000001.reasoning.txt
test_000002,LEGAL,,ILLEGAL,transition_break,0,,152.85,stop,30417,16051,16038,artifacts/kimi_n50_findv_traces/test_000002.content.txt,artifacts/kimi_n50_findv_traces/test_000002.reasoning.txt
test_000003,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,210.2,length,30453,32768,32768,,artifacts/kimi_n50_findv_traces/test_000003.reasoning.txt
test_000004,LEGAL,,ILLEGAL,cardinality_break,0,,205.78,stop,26769,32523,32506,artifacts/kimi_n50_findv_traces/test_000004.content.txt,artifacts/kimi_n50_findv_traces/test_000004.reasoning.txt
test_000005,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,86.52,stop,26769,14691,14674,artifacts/kimi_n50_findv_traces/test_000005.content.txt,artifacts/kimi_n50_findv_traces/test_000005.reasoning.txt
test_000006,LEGAL,,EMPTY_RESPONSE,,0,,273.57,length,34191,32768,32770,,artifacts/kimi_n50_findv_traces/test_000006.reasoning.txt
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,93.09,stop,34191,12290,12274,artifacts/kimi_n50_findv_traces/test_000007.content.txt,artifacts/kimi_n50_findv_traces/test_000007.reasoning.txt
test_000008,LEGAL,,EMPTY_RESPONSE,,0,,236.74,length,32040,32768,32769,,artifacts/kimi_n50_findv_traces/test_000008.reasoning.txt
test_000009,ILLEGAL,derivation_break,EMPTY_RESPONSE,,0,0,262.0,length,32072,32768,32768,,artifacts/kimi_n50_findv_traces/test_000009.reasoning.txt
test_000010,LEGAL,,ILLEGAL,transition_break,0,,222.37,stop,33497,29051,29035,artifacts/kimi_n50_findv_traces/test_000010.content.txt,artifacts/kimi_n50_findv_traces/test_000010.reasoning.txt
test_000011,ILLEGAL,transition_break,ILLEGAL,cardinality_break,1,0,233.13,stop,33497,23432,23415,artifacts/kimi_n50_findv_traces/test_000011.content.txt,artifacts/kimi_n50_findv_traces/test_000011.reasoning.txt
test_000012,LEGAL,,EMPTY_RESPONSE,,0,,201.32,length,30291,32768,32771,,artifacts/kimi_n50_findv_traces/test_000012.reasoning.txt
test_000013,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,154.72,stop,30291,20930,20914,artifacts/kimi_n50_findv_traces/test_000013.content.txt,artifacts/kimi_n50_findv_traces/test_000013.reasoning.txt
test_000014,LEGAL,,EMPTY_RESPONSE,,0,,202.27,length,32590,32768,32771,,artifacts/kimi_n50_findv_traces/test_000014.reasoning.txt
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,49.82,stop,32591,7595,7579,artifacts/kimi_n50_findv_traces/test_000015.content.txt,artifacts/kimi_n50_findv_traces/test_000015.reasoning.txt
test_000016,LEGAL,,EMPTY_RESPONSE,,0,,299.68,length,33846,32768,32769,,artifacts/kimi_n50_findv_traces/test_000016.reasoning.txt
test_000017,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,226.29,stop,33881,30786,30772,artifacts/kimi_n50_findv_traces/test_000017.content.txt,artifacts/kimi_n50_findv_traces/test_000017.reasoning.txt
test_000018,LEGAL,,EMPTY_RESPONSE,,0,,271.03,length,32454,32768,32771,,artifacts/kimi_n50_findv_traces/test_000018.reasoning.txt
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,18.84,stop,32455,1475,1459,artifacts/kimi_n50_findv_traces/test_000019.content.txt,artifacts/kimi_n50_findv_traces/test_000019.reasoning.txt
test_000020,LEGAL,,EMPTY_RESPONSE,,0,,286.64,length,30426,32768,32770,,artifacts/kimi_n50_findv_traces/test_000020.reasoning.txt
test_000021,ILLEGAL,transition_break,EMPTY_RESPONSE,,0,0,374.53,length,30426,32768,32768,,artifacts/kimi_n50_findv_traces/test_000021.reasoning.txt
test_000022,LEGAL,,ILLEGAL,derivation_break,0,,327.79,stop,31079,31451,31434,artifacts/kimi_n50_findv_traces/test_000022.content.txt,artifacts/kimi_n50_findv_traces/test_000022.reasoning.txt
test_000023,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,122.02,stop,31079,17746,17729,artifacts/kimi_n50_findv_traces/test_000023.content.txt,artifacts/kimi_n50_findv_traces/test_000023.reasoning.txt
